ID_publikacji	Autor	Tytul	Wydawnictwo	Rok wydania	Format	Cena	ID_dziedziny
e1386	Miroslawa Kopertowska, Witold Sikorski	Funkcje w Excelu. 	Wydawnictwo Naukowe PWN 	2009	epub	4.99	d02
a2069	James M. Barrie 	Piotrus Pan i Wendy 	Biblioteka Akustyczna 	2015	mp3	24.99	d04
a604	Claudia Guderian	Angielski w 1 miesiac. 	LEKTORKLETT 	2008	mp3	23.99	d05
e1821	Beata Guzowska, Krzysztof Tonder	Moje pierwsze lamiglowki. Dla dzieci 5-6 lat	LITERAT HENRYK PLONCZYNSKI 	2013	pdf	3.99	d06
e1372	Stefan Stryczek	Naped hydrostatyczny tom 2 Uklady. 	Wydawnictwo WNT 	2014	mobi	4.99	d06
a1686	Kai Hermann, Horst Rieck 	My, dzieci z dworca Zoo 	QES Agency 	2011	mp3	21.99	d03
e130	Michel Maffesoli	Czas plemion. Schylek indywidualizmu w spoleczenstwach ponowoczesnych	Wydawnictwo Naukowe PWN 	2008	mobi	4.99	d07
e1432	Grzegorz Weclawowicz	Geografia spoleczna miast. Uwarunkowania spoleczno-przestrzenne. 	Wydawnictwo Naukowe PWN 	2007	epub	4.99	d07
e1028	Alicja Minicka	Morderstwo w Milowie. 	Oficynka 	2012	multiformat	15.99	d04
e189	Urszula Augustyniak	Historia Polski 1572-1795. 	Wydawnictwo Naukowe PWN 	2008	mobi	4.99	d05
e1910	Alicja Moleda	Matematyka-Ciagi, granice, pochodne, calki wg MegaMatma. 	MEGAWIEDZA 	2010	pdf	9.99	d06
e116	Joanna Machowska	Gramatyka? Dlaczego nie?!. Cwiczenia gramatyczne dla poziomu A1	Universitas 	2010	pdf	8.99	d05
a1633	Iwona Taida Drozd	Aisha i waz. Basnie arabskie. 	Media Rodzina 	2013	mp3	21.99	d07
a923	Jadwiga Wolowska, Renata Biernacka	Biologia - Strunowce. Doswiadczenia i obserwacje. 	Marekas Management 	2007	mp3	4.99	d06
a125	Boleslaw Prus 	Placowka 	SMPB 	2011	mp3	18.99	d04
e1969	Redakcja: Zbigniew Kwiecinski, Boguslaw Sliwerski	Pedagogika. Podrecznik akademicki, t. 2. 	Wydawnictwo Naukowe PWN 	2007	mobi	4.99	d07
e236	Wladyslaw Zawistowski	Dobry adres. 	Literatura Net Pl 	2002	epub	5.99	d04
e1594	Anna Gras	Filip Engel i blekitny smok. 	Dobre Slowo 	2011	epub	6.99	d04
e226	Maciej M. Syslo, Narsingh Deo, Janusz S. Kowalik	Algorytmy optymalizacji dyskretnej z programami w jezyku Pascal. 	Wydawnictwo Naukowe PWN 	1999	mobi	4.99	d02
e1894	Wladyslaw Baka	Bankowosc europejska. 	Wydawnictwo Naukowe PWN 	2005	epub	4.99	d01
e375	Lukasz Grzadka, Marcin Rozanski	Box2D. Fizyczny swiat w pudelku	Wydawnictwo Naukowe PWN 	2014	mobi	27.99	d02
